filename,lamb_Q3,lamb_Q2,lamb_Q1,R1_Count,Wrong_Count,Non_R1_Count
n01440764_13144.JPEG,6.40325,3.748,1.59075,73,5,2
n01440764_13161.JPEG,8.40175,4.9765,2.13625,73,4,3
n01440764_13183.JPEG,7.82225,4.773,3.70475,74,4,2
n01440764_13208.JPEG,5.38775,2.271,1.07475,64,5,11
n01440764_13251.JPEG,10.0335,7.8805,4.12275,73,5,2
n01440764_13255.JPEG,6.08325,2.472,0.88625,61,12,7
n01440764_13257.JPEG,6.5485,2.2515,0.81025,66,8,6
n01440764_13274.JPEG,3.77375,0.4595,0.2335,52,18,10
n01440764_13275.JPEG,5.495,2.348,0.86025,64,7,9
n01440764_13304.JPEG,7.435,5.7675,4.155,77,0,3
n01440764_13316.JPEG,7.612,5.6365,3.09725,68,4,8
n01440764_13344.JPEG,7.0485,2.9705,0.61375,62,11,7
n01440764_1336.JPEG,6.24175,2.7685,0.97125,63,8,9
n01440764_13360.JPEG,2.7035,1.7215,1.241,45,7,28
n01440764_13363.JPEG,5.632,1.661,0.74825,71,6,3
n01440764_13368.JPEG,0.7335,0.371,0.17475,17,58,5
n01440764_1337.JPEG,1.4705,0.9645,0.6615,27,5,48
n01440764_13375.JPEG,11.47825,10.186,7.61675,76,3,1
n01440764_13397.JPEG,7.85425,4.571,2.55375,73,5,2
n01440764_13415.JPEG,6.5895,2.718,1.13125,62,14,4
n01440764_13436.JPEG,7.22825,3.946,2.455,75,4,1
n01440764_13452.JPEG,5.491,1.4695,0.53225,62,15,3
n01440764_13464.JPEG,6.30975,4.8625,3.244,75,2,3
n01440764_13468.JPEG,6.1525,1.4145,0.5105,67,10,3
n01440764_13489.JPEG,8.1535,4.2695,2.4875,72,5,3
n01440764_13495.JPEG,8.46025,6.269,3.15875,74,3,3
n01440764_13545.JPEG,8.908,6.263,3.527,74,3,3
n01440764_13575.JPEG,7.198,5.5225,2.9,72,5,3
n01440764_13581.JPEG,4.31925,2.488,1.39,72,3,5
n01440764_13602.JPEG,3.792,1.5495,0.573,52,12,16
n01440764_13625.JPEG,6.71475,4.839,2.73975,69,5,6
n01440764_13643.JPEG,7.638,5.3575,2.11225,69,7,4
n01440764_13654.JPEG,9.44525,7.5285,4.06975,72,6,2
n01440764_13679.JPEG,8.20725,5.076,2.641,73,6,1
n01440764_13694.JPEG,8.05675,5.131,2.90225,76,3,1
n01440764_137.JPEG,6.71775,4.1235,2.39275,68,4,8
n01440764_13702.JPEG,6.251,3.264,1.4045,72,6,2
n01440764_13739.JPEG,3.79125,1.5145,0.6585,54,21,5
n01440764_13744.JPEG,6.53125,1.691,0.82225,71,6,3
n01440764_13749.JPEG,5.41625,3.1605,1.37925,62,6,12
n01440764_13751.JPEG,10.99725,9.0855,7.276,76,2,2
n01440764_13757.JPEG,4.3725,2.9355,1.41975,71,6,3
n01440764_13766.JPEG,6.359,2.631,1.24425,59,16,5
n01440764_13770.JPEG,8.17125,5.3565,3.107,75,4,1
n01440764_1379.JPEG,2.13625,1.233,0.7125,36,36,8
n01440764_13797.JPEG,9.3275,7.245,5.50975,71,8,1
n01440764_13801.JPEG,10.161,7.755,5.3925,75,4,1
n01440764_13806.JPEG,7.352,3.722,2.06225,71,5,4
n01440764_13821.JPEG,5.8635,2.939,1.2405,60,13,7
n01440764_13828.JPEG,6.24775,4.1385,2.1425,72,4,4
n01440764_1383.JPEG,6.84525,2.0525,0.9705,66,8,6
n01440764_13842.JPEG,8.7435,6.8875,3.9505,72,6,2
n01440764_13855.JPEG,6.3035,4.3225,2.9315,72,4,4
n01440764_13860.JPEG,6.22,2.683,1.10525,78,1,1
n01440764_13895.JPEG,9.062,7.236,4.04575,71,3,6
n01440764_13905.JPEG,8.18725,6.5685,3.2975,72,5,3
n01440764_13935.JPEG,5.351,2.0045,0.91725,58,13,9
n01440764_13947.JPEG,7.014,4.2915,1.7775,63,9,8
