filename,swin_b,swin_s,swin_t,ViTB16,ViTB32,ViTH14,ViTL16,ViTL32,MaxVit,swin_v2_b,swin_v2_s,swin_v2_t
n01440764_21005.JPEG,5.16,1.9,1.808,0.514,6.938,2.027,10.568,5.451,7.273,4.941,3.763,4.522
n01440764_2102.JPEG,5.89,3.664,1.503,0.526,4,1.528,10.855,3.427,5.176,4.712,2.169,2.98
n01440764_21043.JPEG,5.7,6.059,4.817,1.278,6.271,0.123,10.197,6.452,8.084,2.533,2.403,4.739
n01440764_21052.JPEG,5.503,4.504,1.454,1.306,6.324,1.227,9.132,4.551,4.295,4.195,3.535,1.249
n01440764_21095.JPEG,6.603,3.786,5.372,0.773,10.422,0.317,10.312,5.426,8.365,3.691,1.806,5.799
n01440764_21161.JPEG,4.23,1.332,1.071,0.402,4.128,1.173,8.641,1.806,6.575,3.039,3.073,2.173
n01440764_2117.JPEG,3.401,1.403,2.382,0.296,10.126,0.162,10.925,5.931,9.066,0.803,1.283,2.989
n01440764_2118.JPEG,5.815,5.048,2.906,0.989,6.277,2.218,9.106,2.705,5.39,5.96,5.785,4.099
n01440764_21191.JPEG,6.975,6.949,4.682,0.423,8.06,0.512,10.819,7.286,8.777,6.971,5.977,5.489
n01440764_2121.JPEG,6.918,4.131,3.715,1.672,8.29,3.293,10.797,6.49,5.806,7.259,6.109,3.454
n01440764_2144.JPEG,7.601,5.834,6.025,0.21,10.52,0.593,10.507,3.794,7.479,6.285,4.078,6.526
n01440764_2159.JPEG,4.581,1.442,4.162,0.31,6.488,0.281,6.759,5.226,7.881,5.216,4.044,4.307
n01440764_21603.JPEG,7.25,4.696,5.488,0.44,9.2,0.769,11.325,4.43,7.619,6.423,5.174,6.321
n01440764_2162.JPEG,3.408,1.921,0.755,0.82,5.885,0.614,8.91,1.062,6.593,3.178,2.019,2.816
n01440764_21695.JPEG,3.434,3.707,3.171,0.714,4.578,0.7,10.087,7.546,3.55,7.168,4.746,5.456
n01440764_21790.JPEG,6.536,4.069,5.971,1.182,9.135,0.414,11.326,4.373,4.067,6.145,5.045,6.93
n01440764_21809.JPEG,6.881,5.714,6.144,0.447,9.523,0.398,10.814,4.964,8.319,5.952,4.193,6.162
n01440764_21955.JPEG,10.727,9.153,6.157,0.211,8.714,0.762,6.478,4.301,6.894,4.922,7.501,7.401
